route,type,status,owner_verified,index_flag,collection_gate,sitemap_expected,navigation_visible,launch_decision,notes
/,page,published,true,true,pass,true,true,approved,Published and owner-verified — live in production.
/cara-kerja,page,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/faq,page,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/konsultasi-proyek,page,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/kontak,page,published,true,true,pass,true,true,approved,Published and owner-verified — live in production.
/layanan,page,published,true,true,pass,true,true,approved,Published and owner-verified — live in production.
/layanan/audit-biaya-proyek,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/bangun-bangunan-komersial,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/bangun-rumah,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/building-maintenance,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/contoh-layanan,service,draft,false,false,pass,false,false,excluded,"Scaffold/example fixture, never intended to publish."
/layanan/corrective-maintenance-bangunan,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/design-and-build,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/estimasi-biaya-konstruksi,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/interior-fit-out,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/manajemen-konstruksi,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/owner-representative,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/pengawasan-proyek,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/pengendalian-biaya-proyek,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/pengendalian-cashflow-proyek,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/pengendalian-jadwal-proyek,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/penyusunan-rab,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/preventive-maintenance-bangunan,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/quality-control-konstruksi,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/renovasi-bangunan-komersial,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/renovasi-rumah,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/layanan/value-engineering,service,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/mengapa-arkavena,page,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan,page,published,true,true,pass,true,true,approved,Published and owner-verified — live in production.
/panduan/biaya-bangun-cafe,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/biaya-bangun-gudang,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/biaya-bangun-kantor,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/biaya-bangun-klinik,guide,review,false,false,pass,false,false,excluded,"Draft/review content, not owner-approved for launch."
/panduan/biaya-bangun-kos,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/biaya-bangun-masjid,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/biaya-bangun-pabrik,guide,review,false,false,pass,false,false,excluded,"Draft/review content, not owner-approved for launch."
/panduan/biaya-bangun-restoran,guide,review,false,false,pass,false,false,excluded,"Draft/review content, not owner-approved for launch."
/panduan/biaya-bangun-ruko,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/biaya-bangun-rumah-per-meter,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/biaya-bangun-sekolah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/biaya-renovasi-rumah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/borongan-vs-harian-bangun-rumah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/cara-membaca-rab-rumah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/cara-memilih-kontraktor-renovasi,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/cara-memilih-kontraktor-rumah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/cara-menghitung-anggaran-renovasi-rumah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/cara-menghitung-biaya-bangun-rumah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/checklist-persiapan-bangun-rumah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/checklist-survei-sebelum-renovasi,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/contoh-panduan,guide,draft,false,false,pass,false,false,excluded,"Scaffold/example fixture, never intended to publish."
/panduan/kontrak-kerja-konstruksi-rumah,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/kontraktor-vs-tukang,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
/panduan/memperkuat-struktur-rumah-lama,guide,published,true,true,pass,true,false,approved,Published and owner-verified — live in production.
